model_name,accuracy,precision,recall,f1_score,sensitivity,specificity,auc_roc,auc_pr,ppv,npv
LACE Index,0.3889,0.0909,0.5,0.1538,0.5,0.375,0.3125,0.1181,0.0909,0.8571
Random Forest,0.8333,0.0,0.0,0.0,0.0,0.9375,0.4375,0.1389,0.0,0.8824
